anchor_table,target,controller,e_total_Clbf,e_line_Cl1m,e_th,e_time,t_end_s,e_l_raw_m,theta_end_rad,arrived,diverged,C_l_bf_m
4,"(-0.2,-0.5)",Lyap1,1060.6433293485502,15.8758580812146,79.84779124271326,222.34263340822235,4.145999999999719,0.0158758580812146,-1.7004534695337818,True,False,0.05219317424344332
4,"(-0.2,-0.5)",Lyap2,1423.9374645971639,13.03269569387657,36.01706286116685,488.67580603013556,7.2280000000007485,0.013032695693876571,-1.8381517638187377,True,False,0.05219317424344332
4,"(-0.2,-0.5)",PID,3916.4698246992916,67.40357303448202,513.7283272698872,475.93779215542116,7.062000000000693,0.06740357303448202,-0.3373775650152108,True,False,0.05219317424344332
4,"(-0.2,-0.5)",PNN,935.8348935693997,20.098610980622098,23.755463376487942,155.3510717522646,3.450999999999731,0.020098610980622097,-1.8766727146810656,True,False,0.05219317424344332
5,"(-0.3,0.5)",Lyap1,1260.161114020178,25.927396692951937,88.65135306531535,216.05735490121674,4.235999999999749,0.025927396692951937,1.832709387544691,True,False,0.059764074786662985
5,"(-0.3,0.5)",Lyap2,1511.7675327973784,17.796282657883474,43.04133965742418,489.5107338963993,7.395000000000804,0.017796282657883473,1.9759974705970538,True,False,0.059764074786662985
5,"(-0.3,0.5)",PID,4026.5881904030257,74.45550627802345,596.7493968254034,482.17685435187207,7.299000000000772,0.07445550627802346,0.23647230596465302,True,False,0.059764074786662985
5,"(-0.3,0.5)",PNN,1018.3855526269065,24.141940068508138,20.00899227336344,186.21824636524303,3.9249999999996787,0.024141940068508137,2.048355723933747,True,False,0.059764074786662985
6,"(0.5,-0.5)",Lyap1,730.7201538488692,22.016317257377604,27.4618505058638,123.57772828963057,3.7169999999997017,0.022016317257377606,-0.6991242155942455,True,False,0.07704460416613558
6,"(0.5,-0.5)",Lyap2,973.0653527000828,5.123472268125216,0.14640266421594764,436.51121439149915,7.154000000000724,0.005123472268125216,-0.785858100931815,True,False,0.07704460416613558
6,"(0.5,-0.5)",PID,1776.1637563700256,48.477362600960575,96.92237085672782,319.2507689522709,5.783000000000266,0.048477362600960576,-0.48090755514544675,True,False,0.07704460416613558
6,"(0.5,-0.5)",PNN,497.73698481896565,17.903559093487786,14.842734166601964,59.74140094822845,3.0729999999997726,0.017903559093487786,-0.832027988014431,True,False,0.07704460416613558
7,"(0.6,0.4)",Lyap1,715.9932688802957,18.65860589623226,23.937475174136782,109.07571969482684,3.6189999999997124,0.01865860589623226,0.5128008073950114,True,False,0.06219993102090761
7,"(0.6,0.4)",Lyap2,967.2267740556517,4.413219998241582,1.5290667564281932,428.87019375462376,7.109000000000709,0.004413219998241582,0.5928063084364109,True,False,0.06219993102090761
7,"(0.6,0.4)",PID,1588.6138372591922,38.85209089803148,34.05208070225607,291.7805535470418,5.529000000000181,0.038852090898031474,0.481024836973913,True,False,0.06219993102090761
7,"(0.6,0.4)",PNN,449.17590046825995,14.911812200366596,0.6003140481091831,44.18262729436055,2.9659999999997844,0.014911812200366595,0.5861166613441812,True,False,0.06219993102090761
