condition,run,seg,L_k_m,Kp,Kth,t_arrive_s,eps_m,T_bound_s,within_bound,d_at_switch_m,V_before,V_after,t_switch_s
tol5cm_pnn,16,5,0.649556,0.907951,0.935696,3.3740,0.05,7.2934,1,0.049999,0.01622403,1.29213457,15.9410
tol5cm_pnn,16,6,0.670572,0.946780,2.596987,2.6400,0.05,6.1698,1,0.049944,0.02935951,0.15542863,18.5810
tol5cm_pnn,16,7,0.275122,0.839066,2.989361,1.7430,0.05,4.9263,1,0.049975,0.00200016,0.73020684,20.3240
tol5cm_pnn,16,8,0.869677,0.893135,2.856408,2.6020,0.05,7.0062,1,0.049996,0.01899784,0.64227694,22.9260
tol5cm_pnn,16,9,1.025340,0.826122,2.902513,2.6890,0.05,7.9060,1,0.049985,0.00384188,0.15389855,25.6150
tol5cm_pnn,16,10,0.553404,0.859129,2.942726,2.1300,0.05,6.2690,1,0.049985,0.00142020,1.22516207,27.7450
tol5cm_pnn,16,11,0.136367,0.799187,2.485874,1.8750,0.05,3.8503,1,0.049985,0.02323103,0.11624137,29.6200
tol5cm_pnn,16,12,0.425713,0.885966,2.975939,1.9480,0.05,5.5513,1,0.049923,0.00468416,0.24766825,31.5680
tol5cm_pnn,16,13,0.453832,0.886672,2.969842,2.0690,0.05,5.6778,1,0.049976,0.00216469,1.09986101,33.6370
tol5cm_pnn,16,14,0.474016,0.904116,2.800542,2.4730,0.05,5.6923,1,0.049967,0.02647001,,36.1100
tol5cm_pnn,17,0,0.847487,0.975027,2.680325,2.5320,0.05,6.4403,1,0.049953,0.03005916,0.50350610,2.5320
tol5cm_pnn,17,1,0.210151,0.835893,2.975196,1.7670,0.05,4.4120,1,0.049962,0.00594878,1.50376023,4.2990
tol5cm_pnn,17,2,0.684886,0.914652,2.481199,2.6890,0.05,6.4357,1,0.049907,0.02520862,0.73077780,6.9880
tol5cm_pnn,17,3,0.937452,0.900497,2.806030,2.5670,0.05,7.1195,1,0.049905,0.01677383,1.45702924,9.5550
tol5cm_pnn,17,4,0.433743,0.873706,2.754225,2.6660,0.05,5.6985,1,0.049954,0.02596544,0.79550857,12.2210
tol5cm_pnn,17,5,0.322484,0.868466,2.944144,2.2910,0.05,5.0955,1,0.049932,0.01707370,1.45397292,14.5120
tol5cm_pnn,17,6,0.592814,0.902596,2.571644,2.7230,0.05,6.1979,1,0.049965,0.02574881,1.45643184,17.2350
tol5cm_pnn,17,7,0.753075,0.955814,2.504738,2.6390,0.05,6.3630,1,0.049944,0.02880523,0.76667452,19.8740
tol5cm_pnn,17,8,0.114306,0.763546,2.842145,1.5320,0.05,3.6040,1,0.049970,0.07070613,0.01143467,21.4060
tol5cm_pnn,17,9,0.150685,0.807617,2.983176,1.3220,0.05,3.9062,1,0.049986,0.00362258,0.52159630,22.7280
tol5cm_pnn,17,10,0.216713,0.838153,2.974724,1.8960,0.05,4.4609,1,0.049987,0.00144757,0.53625965,24.6240
tol5cm_pnn,17,11,0.958478,0.821278,2.895904,2.6460,0.05,7.7946,1,0.049985,0.00243083,0.20347315,27.2700
tol5cm_pnn,17,12,0.485513,0.898070,2.973437,2.0390,0.05,5.7469,1,0.049944,0.00139323,0.34724877,29.3090
tol5cm_pnn,17,13,0.404235,0.898620,2.995756,2.0730,0.05,5.3738,1,0.049994,0.00323223,0.40151679,31.3820
tol5cm_pnn,17,14,0.273986,0.864783,3.000000,1.9540,0.05,4.7838,1,0.049929,0.00125847,0.62763045,33.3360
tol5cm_pnn,17,15,1.001414,0.874578,2.838118,2.5780,0.05,7.4538,1,0.049930,0.00950237,2.03908925,35.9140
tol5cm_pnn,17,16,0.732411,0.872709,1.848798,3.1120,0.05,7.0529,1,0.049917,0.00508839,2.59412154,39.0260
tol5cm_pnn,17,17,0.748620,0.921932,0.890180,3.4100,0.05,7.5683,1,0.049969,0.01330725,,42.4360
tol5cm_pnn,18,0,0.871044,0.870498,2.907481,2.4180,0.05,7.1706,1,0.049984,0.00312739,2.39114664,2.4180
tol5cm_pnn,18,1,0.835131,0.958062,0.892904,3.3270,0.05,7.5516,1,0.049973,0.01644192,0.21270916,5.7450
tol5cm_pnn,18,2,0.576303,0.846790,2.928235,2.2220,0.05,6.4438,1,0.049959,0.00225715,0.37506836,7.9670
tol5cm_pnn,18,3,0.849678,0.866364,2.924856,2.3640,0.05,7.1456,1,0.049919,0.00197639,0.20288074,10.3310
tol5cm_pnn,18,4,0.629422,0.852188,2.930542,2.2270,0.05,6.5966,1,0.049939,0.00136345,0.11044483,12.5580
tol5cm_pnn,18,5,0.224511,0.821275,2.981059,1.6180,0.05,4.6122,1,0.049998,0.00692117,1.11962396,14.1760
tol5cm_pnn,18,6,0.188497,0.789901,2.816674,2.0710,0.05,4.4479,1,0.049963,0.00392862,,16.2470
tol5cm_pnn,19,0,0.399997,0.903064,3.000000,2.2070,0.05,5.3282,1,0.049999,0.01426544,2.94913614,2.2070
tol5cm_pnn,19,1,0.378921,0.829246,0.956703,3.2840,0.05,6.6327,1,0.049986,0.00990427,1.24762268,5.4910
tol5cm_pnn,19,2,0.768037,0.962474,2.590383,2.6200,0.05,6.3429,1,0.049911,0.02959678,0.65746918,8.1110
tol5cm_pnn,19,3,0.890855,0.900193,2.824844,2.5090,0.05,7.0111,1,0.049914,0.01473375,1.19208544,10.6200
tol5cm_pnn,19,4,0.893070,0.973272,2.634850,2.6010,0.05,6.5617,1,0.049900,0.03152848,1.55939199,13.2210
tol5cm_pnn,19,5,0.578944,0.879622,2.517186,2.8420,0.05,6.3078,1,0.049915,0.02244437,0.13790366,16.0630
tol5cm_pnn,19,6,0.205315,0.817411,2.987584,1.6130,0.05,4.4534,1,0.049982,0.01483760,1.12460820,17.6760
tol5cm_pnn,19,7,0.315434,0.856091,2.908363,2.4400,0.05,5.1235,1,0.049977,0.02466572,,20.1160
timer_pnn,0,0,0.485869,0.926766,0.913096,2.0010,0.01,9.9426,1,0.281595,0.05110766,0.53384671,2.0010
timer_pnn,0,1,0.324259,0.878838,3.000000,2.0010,0.01,8.4484,1,0.040932,0.00255336,0.41179582,4.0020
timer_pnn,0,2,0.326154,0.873504,3.000000,2.0010,0.01,8.5101,1,0.057361,0.00200554,0.71523448,6.0030
timer_pnn,0,3,0.442952,0.907529,2.960596,2.0010,0.01,8.8717,1,0.075109,0.00601740,2.61418871,8.0040
timer_pnn,0,4,0.380582,0.875267,0.941307,2.0010,0.01,9.8474,1,0.253740,0.04732557,0.71645770,10.0050
timer_pnn,0,5,1.172943,0.848752,2.883115,2.0010,0.01,11.7283,1,0.137538,0.01114584,0.28411339,12.0060
timer_pnn,0,6,0.753129,0.852401,2.925177,2.0010,0.01,10.6448,1,0.079054,0.00313636,1.08204892,14.0070
timer_pnn,0,7,0.474807,0.924397,2.887921,2.0010,0.01,8.8772,1,0.105167,0.00585871,0.34674312,16.0080
timer_pnn,0,8,0.205484,0.838972,2.996116,2.0010,0.01,7.7819,1,0.025325,0.00251251,0.47621092,18.0090
timer_pnn,0,9,0.928737,0.819139,2.896922,2.0010,0.01,11.5681,1,0.139284,0.01025000,0.37822732,20.0100
timer_pnn,0,10,0.220840,0.845202,2.994880,2.0010,0.01,7.8910,1,0.029989,0.00063464,0.62634950,22.0110
timer_pnn,0,11,0.308120,0.872717,2.960856,2.0010,0.01,8.3971,1,0.066168,0.00253517,,24.0120
timer_pnn,1,0,0.371483,0.858126,2.953057,2.0010,0.01,8.9565,1,0.048327,0.00124100,0.79104256,2.0010
timer_pnn,1,1,1.016784,0.857770,2.881640,2.0010,0.01,11.2802,1,0.169402,0.01454011,0.31439691,4.0020
timer_pnn,1,2,0.151512,0.794662,2.979435,2.0010,0.01,7.4670,1,0.020626,0.00237267,0.64732592,6.0030
timer_pnn,1,3,0.771528,0.905117,2.879949,2.0010,0.01,10.1125,1,0.137025,0.00967345,0.40946431,8.0040
timer_pnn,1,4,0.850671,0.821609,2.895828,2.0010,0.01,11.3236,1,0.120830,0.00775040,0.73831233,10.0050
timer_pnn,1,5,0.207729,0.819618,2.967060,2.0010,0.01,7.9845,1,0.049366,0.00133596,1.51576875,12.0060
timer_pnn,1,6,0.863302,0.971285,2.450655,2.0010,0.01,9.7694,1,0.174512,0.02055329,0.22890100,14.0070
timer_pnn,1,7,0.195844,0.817023,3.000000,2.0010,0.01,7.8659,1,0.011624,0.00010408,0.33800316,16.0080
timer_pnn,1,8,0.386270,0.894456,2.998551,2.0010,0.01,8.6897,1,0.052634,0.00479272,1.21578836,18.0090
timer_pnn,1,9,0.894939,0.982384,2.608782,2.0010,0.01,9.7035,1,0.166763,0.01828518,0.51097335,20.0100
timer_pnn,1,10,0.410236,0.902125,3.000000,2.0010,0.01,8.7497,1,0.047015,0.00490407,3.71255933,22.0110
timer_pnn,1,11,0.573292,0.724627,1.158022,2.0010,0.01,12.4197,1,0.353856,0.06410179,,24.0120
timer_pnn,2,0,0.823140,0.900767,2.856225,2.0010,0.01,10.3050,1,0.114801,0.00671719,0.37142710,2.0010
timer_pnn,2,1,0.470200,0.902795,2.985341,2.0010,0.01,9.0413,1,0.053033,0.00287311,0.31842349,4.0020
timer_pnn,2,2,0.546084,0.912007,2.965771,2.0010,0.01,9.2795,1,0.060012,0.00309760,2.42645304,6.0030
timer_pnn,2,3,0.261345,0.916958,0.937690,2.0010,0.01,8.6779,1,0.171067,0.02870185,0.84257576,8.0040
timer_pnn,2,4,0.619178,0.948981,2.890341,2.0010,0.01,9.2086,1,0.118401,0.00720230,,10.0050
timer_pnn,3,0,0.948938,0.848384,2.888569,2.0010,0.01,11.2374,1,0.152650,0.01196117,0.35099387,2.0010
timer_pnn,3,1,0.223143,0.846960,2.998102,2.0010,0.01,7.8986,1,0.026008,0.00061310,0.40381234,4.0020
timer_pnn,3,2,0.349551,0.880172,3.000000,2.0010,0.01,8.6020,1,0.052445,0.00500425,1.21041996,6.0030
timer_pnn,3,3,0.737116,0.961062,2.628545,2.0010,0.01,9.5042,1,0.156635,0.01575674,0.25310257,8.0040
timer_pnn,3,4,0.708212,0.862303,2.928030,2.0010,0.01,10.3869,1,0.070373,0.00504125,0.65021050,10.0050
timer_pnn,3,5,0.388498,0.903334,2.995486,2.0010,0.01,8.6217,1,0.070855,0.00346845,,12.0060
timer_pnn,4,0,0.104753,0.790136,2.960462,2.0010,0.01,6.6449,1,0.019703,0.00077698,0.75970131,2.0010
timer_pnn,4,1,0.820351,0.929125,2.815548,2.0010,0.01,10.0051,1,0.129885,0.00845773,0.26049940,4.0020
timer_pnn,4,2,0.354600,0.868888,3.000000,2.0010,0.01,8.7398,1,0.035713,0.00246041,0.42506758,6.0030
timer_pnn,4,3,0.720362,0.901952,2.912749,2.0010,0.01,9.9908,1,0.086998,0.00452484,0.20648701,8.0040
timer_pnn,4,4,0.603529,0.877701,2.944256,2.0010,0.01,9.8514,1,0.062082,0.00200482,0.77030601,10.0050
timer_pnn,4,5,0.135775,0.788061,2.882961,2.0010,0.01,7.2810,1,0.035075,0.00062024,2.67628274,12.0060
timer_pnn,4,6,0.333209,0.873635,0.939915,2.0010,0.01,9.5693,1,0.216492,0.04028250,2.77151765,14.0070
timer_pnn,4,7,0.843254,0.794966,0.964259,2.0010,0.01,12.6242,1,0.495910,0.12537482,0.71027880,16.0080
timer_pnn,4,8,1.191393,0.840719,2.926489,2.0010,0.01,11.8655,1,0.121321,0.00805809,0.32653284,18.0090
timer_pnn,4,9,0.696096,0.891257,2.937350,2.0010,0.01,10.0251,1,0.070385,0.00268794,1.83424155,20.0100
timer_pnn,4,10,0.635117,0.832673,2.298757,2.0010,0.01,10.6114,1,0.227715,0.04442365,0.51616773,22.0110
timer_pnn,4,11,1.016039,0.847579,2.928553,2.0010,0.01,11.4007,1,0.117795,0.00901615,1.84238881,24.0120
timer_pnn,4,12,0.737610,0.856806,2.285816,2.0010,0.01,10.6771,1,0.253551,0.05334948,0.46832768,26.0130
timer_pnn,4,13,0.422801,0.903467,3.000000,2.0010,0.01,8.8026,1,0.067921,0.00259172,0.60991470,28.0140
timer_pnn,4,14,0.940556,0.846272,2.888067,2.0010,0.01,11.2436,1,0.133782,0.01136165,0.51154454,30.0150
timer_pnn,4,15,0.432520,0.905306,3.000000,2.0010,0.01,8.8347,1,0.060761,0.00296100,0.48304218,32.0160
timer_pnn,4,16,0.340384,0.883158,3.000000,2.0010,0.01,8.5160,1,0.060350,0.00220204,0.53378395,34.0170
timer_pnn,4,17,0.947517,0.872430,2.863190,2.0010,0.01,10.9418,1,0.127593,0.00852383,,36.0180
timer_pnn,5,0,0.955018,0.856281,2.887016,2.0010,0.01,11.1532,1,0.155733,0.01248462,1.47200172,2.0010
timer_pnn,5,1,0.469390,0.858038,2.656533,2.0010,0.01,9.5423,1,0.136289,0.01055645,1.74768875,4.0020
timer_pnn,5,2,0.522404,0.828876,2.413129,2.0010,0.01,10.1653,1,0.200261,0.03721380,0.06234792,6.0030
timer_pnn,5,3,0.343861,0.865693,2.988627,2.0010,0.01,8.7031,1,0.027332,0.00446220,2.59624336,8.0040
timer_pnn,5,4,0.493116,0.865171,0.950894,2.0010,0.01,10.5156,1,0.311777,0.06003491,0.19772322,10.0050
timer_pnn,5,5,0.365456,0.865225,2.981722,2.0010,0.01,8.8455,1,0.037827,0.00211342,0.36186987,12.0060
timer_pnn,5,6,0.503902,0.903521,2.969768,2.0010,0.01,9.1870,1,0.074307,0.00276086,0.33675629,14.0070
timer_pnn,5,7,0.819884,0.856278,2.926982,2.0010,0.01,10.7943,1,0.095686,0.00529763,0.14338201,16.0080
timer_pnn,5,8,0.351111,0.878679,3.000000,2.0010,0.01,8.6257,1,0.033096,0.00085947,0.68375167,18.0090
timer_pnn,5,9,0.934520,0.862920,2.883027,2.0010,0.01,11.0220,1,0.144041,0.01111760,0.45277636,20.0100
timer_pnn,5,10,0.617367,0.921424,2.931178,2.0010,0.01,9.4568,1,0.067546,0.00290835,0.28692609,22.0110
timer_pnn,5,11,0.427377,0.901484,2.987238,2.0010,0.01,8.8463,1,0.053843,0.00146573,0.73645098,24.0120
timer_pnn,5,12,1.005059,0.852413,2.891744,2.0010,0.01,11.3195,1,0.152634,0.01309361,0.82087968,26.0130
timer_pnn,5,13,0.209655,0.818727,2.914062,2.0010,0.01,8.0227,1,0.047220,0.00118821,0.86960812,28.0140
timer_pnn,5,14,0.902775,0.929166,2.775745,2.0010,0.01,10.2155,1,0.161015,0.01417961,0.34238618,30.0150
timer_pnn,5,15,0.822479,0.861100,2.927581,2.0010,0.01,10.7437,1,0.086977,0.00519071,1.03783373,32.0160
timer_pnn,5,16,0.883390,0.958844,2.725311,2.0010,0.01,9.8792,1,0.155284,0.01351395,0.09332931,34.0170
timer_pnn,5,17,0.420176,0.864333,2.953027,2.0010,0.01,9.1735,1,0.031609,0.00336502,,36.0180
timer_pnn,6,0,0.677518,0.936028,0.888444,2.0010,0.01,10.5996,1,0.394917,0.09334464,0.67236543,2.0010
timer_pnn,6,1,1.083202,0.863044,2.846631,2.0010,0.01,11.3654,1,0.131037,0.01008674,2.10317957,4.0020
timer_pnn,6,2,0.870567,0.811709,2.121881,2.0010,0.01,11.6868,1,0.345600,0.09156847,0.51839401,6.0030
timer_pnn,6,3,0.969455,0.814775,2.902373,2.0010,0.01,11.7308,1,0.116097,0.00896524,0.64021853,8.0040
timer_pnn,6,4,1.036858,0.869205,2.841706,2.0010,0.01,11.1895,1,0.130418,0.00850441,0.09286239,10.0050
timer_pnn,6,5,0.311153,0.841086,2.963845,2.0010,0.01,8.7174,1,0.025843,0.00061844,1.35697489,12.0060
timer_pnn,6,6,0.990520,0.993062,2.505284,2.0010,0.01,9.8291,1,0.176692,0.02222385,0.76171609,14.0070
timer_pnn,6,7,1.079531,0.876125,2.811692,2.0010,0.01,11.2014,1,0.160961,0.01490641,0.85583328,16.0080
timer_pnn,6,8,0.953841,0.889140,2.849301,2.0010,0.01,10.7624,1,0.137464,0.01066809,0.17541808,18.0090
timer_pnn,6,9,0.590657,0.863492,2.939132,2.0010,0.01,9.9574,1,0.055290,0.00202650,0.41820697,20.0100
timer_pnn,6,10,0.580654,0.921458,2.943677,2.0010,0.01,9.3235,1,0.070748,0.00309911,0.10618295,22.0110
timer_pnn,6,11,0.167445,0.823823,2.991338,2.0010,0.01,7.4457,1,0.017895,0.00037078,0.06138070,24.0120
timer_pnn,6,12,0.215466,0.820573,2.982945,2.0010,0.01,8.0584,1,0.030257,0.00141170,0.31690016,26.0130
timer_pnn,6,13,0.552501,0.910986,2.965282,2.0010,0.01,9.3146,1,0.066323,0.00266059,2.25567301,28.0140
timer_pnn,6,14,0.853374,0.868623,1.388468,2.0010,0.01,11.2636,1,0.373779,0.09415236,0.38409639,30.0150
timer_pnn,6,15,0.849576,0.831333,2.910206,2.0010,0.01,11.1913,1,0.082655,0.00347261,0.37934695,32.0160
timer_pnn,6,16,0.855311,0.836762,2.916672,2.0010,0.01,11.1366,1,0.109457,0.00599135,0.66596388,34.0170
timer_pnn,6,17,0.903082,0.898776,2.822719,2.0010,0.01,10.5364,1,0.119454,0.00717603,0.06957968,36.0180
timer_pnn,6,18,0.325841,0.850439,2.966990,2.0010,0.01,8.7313,1,0.026117,0.00105495,,38.0190
timer_pnn,7,0,0.764538,0.958205,2.831134,2.0010,0.01,9.5685,1,0.126963,0.00813337,0.32172966,2.0010
timer_pnn,7,1,0.797045,0.861609,2.927003,2.0010,0.01,10.6657,1,0.082625,0.00463763,1.37491510,4.0020
timer_pnn,7,2,1.003887,0.992992,2.496829,2.0010,0.01,9.8583,1,0.179191,0.02399080,2.69578047,6.0030
timer_pnn,7,3,0.725073,0.819335,0.964319,2.0010,0.01,11.9275,1,0.521726,0.15321176,0.48591223,8.0040
timer_pnn,7,4,0.946155,0.820669,2.900266,2.0010,0.01,11.5917,1,0.117115,0.00806312,0.12299116,10.0050
timer_pnn,7,5,0.239796,0.851521,3.000000,2.0010,0.01,8.0205,1,0.020242,0.00088710,0.09897949,12.0060
timer_pnn,7,6,0.410680,0.882649,2.976704,2.0010,0.01,8.9386,1,0.045638,0.00105487,0.92319521,14.0070
timer_pnn,7,7,0.248016,0.827986,2.907085,2.0010,0.01,8.3283,1,0.065276,0.00255013,1.02622157,16.0080
timer_pnn,7,8,0.407821,0.902718,2.924638,2.0010,0.01,8.7434,1,0.085189,0.00668488,2.13418145,18.0090
timer_pnn,7,9,0.497494,0.994932,0.964995,2.0010,0.01,9.3304,1,0.286679,0.04870284,0.70055229,20.0100
timer_pnn,7,10,0.314850,0.874507,2.990801,2.0010,0.01,8.4241,1,0.048424,0.00265881,0.48610562,22.0110
timer_pnn,7,11,0.795947,0.895857,2.880232,2.0010,0.01,10.2807,1,0.095606,0.00623525,0.75025338,24.0120
timer_pnn,7,12,0.529581,0.936708,2.949448,2.0010,0.01,8.9854,1,0.084613,0.00480417,0.22571944,26.0130
timer_pnn,7,13,0.653057,0.847097,2.926688,2.0010,0.01,10.3764,1,0.079364,0.00363468,0.69374517,28.0140
timer_pnn,7,14,0.946839,0.861024,2.884454,2.0010,0.01,11.0751,1,0.151883,0.01155699,0.18374750,30.0150
timer_pnn,7,15,0.587742,0.850300,2.933971,2.0010,0.01,10.0940,1,0.060878,0.00230582,1.93051335,32.0160
timer_pnn,7,16,0.462277,1.000000,1.077775,2.0010,0.01,8.9962,1,0.216074,0.02356563,0.32902844,34.0170
timer_pnn,7,17,0.807748,0.846880,2.925066,2.0010,0.01,10.8744,1,0.082082,0.00386954,,36.0180
timer_pnn,8,0,0.432010,0.906382,0.924643,2.0010,0.01,9.8594,1,0.249467,0.04038109,0.52376737,2.0010
timer_pnn,8,1,0.473412,0.913378,2.984982,2.0010,0.01,8.9566,1,0.056088,0.00403895,0.63893846,4.0020
timer_pnn,8,2,0.861933,0.877058,2.873052,2.0010,0.01,10.6714,1,0.123817,0.00869778,2.21996879,6.0030
timer_pnn,8,3,0.914620,0.818657,1.801096,2.0010,0.01,11.8288,1,0.373364,0.11245330,0.37415052,8.0040
timer_pnn,8,4,0.711763,0.857978,2.904018,2.0010,0.01,10.4523,1,0.083555,0.00466600,0.96631096,10.0050
timer_pnn,8,5,0.338647,0.863310,2.911980,2.0010,0.01,8.7036,1,0.074951,0.00482003,0.57370890,12.0060
timer_pnn,8,6,0.711504,0.923110,2.880897,2.0010,0.01,9.7515,1,0.105832,0.00571460,,14.0070
timer_pnn,9,0,0.269877,0.854645,3.000000,2.0010,0.01,8.2589,1,0.036088,0.00083029,0.03991540,2.0010
timer_pnn,9,1,0.281864,0.847698,2.991320,2.0010,0.01,8.4231,1,0.032382,0.00055940,1.27487034,4.0020
timer_pnn,9,2,0.595817,0.933053,2.683621,2.0010,0.01,9.3135,1,0.139578,0.01060358,0.87979756,6.0030
timer_pnn,9,3,0.250824,0.832299,2.920274,2.0010,0.01,8.3115,1,0.052228,0.00305047,0.77497319,8.0040
timer_pnn,9,4,0.398614,0.909154,2.962563,2.0010,0.01,8.6298,1,0.071148,0.00616295,0.11866532,10.0050
timer_pnn,9,5,0.246606,0.853198,3.000000,2.0010,0.01,8.0687,1,0.025522,0.00140897,1.10960420,12.0060
timer_pnn,9,6,0.845315,0.974905,2.681090,2.0010,0.01,9.6439,1,0.152288,0.01324695,0.37528604,14.0070
timer_pnn,9,7,0.558821,0.918512,2.953338,2.0010,0.01,9.2684,1,0.070270,0.00322983,,16.0080
timer_pnn,10,0,0.285516,0.845398,2.912674,2.0010,0.01,8.4867,1,0.077181,0.00431961,1.44254947,2.0010
timer_pnn,10,1,0.584510,0.910057,2.613302,2.0010,0.01,9.5083,1,0.167848,0.01918059,0.52129508,4.0020
timer_pnn,10,2,0.992318,0.860128,2.895164,2.0010,0.01,11.1923,1,0.109682,0.00886849,0.08936505,6.0030
timer_pnn,10,3,0.410213,0.865150,2.953451,2.0010,0.01,9.1111,1,0.036015,0.00070972,2.28016864,8.0040
timer_pnn,10,4,0.877731,0.864327,1.380962,2.0010,0.01,11.3844,1,0.358732,0.08946943,0.96802733,10.0050
timer_pnn,10,5,0.715324,0.958202,2.803504,2.0010,0.01,9.4363,1,0.123962,0.00873587,0.66170557,12.0060
timer_pnn,10,6,0.430178,0.914340,2.995138,2.0010,0.01,8.7412,1,0.060473,0.00678365,0.10507786,14.0070
timer_pnn,10,7,0.217226,0.818730,2.979691,2.0010,0.01,8.0950,1,0.028034,0.00040137,3.02029679,16.0080
timer_pnn,10,8,0.882710,0.812702,1.021149,2.0010,0.01,12.4113,1,0.538894,0.14758388,0.86956043,18.0090
timer_pnn,10,9,1.314440,0.837466,2.919476,2.0010,0.01,12.1438,1,0.143225,0.01099468,1.54223170,20.0100
timer_pnn,10,10,0.815167,0.925510,2.378073,2.0010,0.01,10.1193,1,0.201586,0.03294864,0.09153795,22.0110
timer_pnn,10,11,0.336500,0.848016,2.958902,2.0010,0.01,8.8299,1,0.028618,0.00477483,0.40835397,24.0120
timer_pnn,10,12,0.895478,0.840185,2.921228,2.0010,0.01,11.2005,1,0.123474,0.00810823,0.33561594,26.0130
timer_pnn,10,13,0.531103,0.916172,2.965281,2.0010,0.01,9.1799,1,0.054267,0.00210086,2.16254370,28.0140
timer_pnn,10,14,0.145450,0.979404,1.027775,2.0010,0.01,6.9517,1,0.088814,0.00654842,0.04856480,30.0150
timer_pnn,10,15,0.258142,0.849113,3.000000,2.0010,0.01,8.2088,1,0.025343,0.00172527,0.52257773,32.0160
timer_pnn,10,16,0.987938,0.861366,2.889737,2.0010,0.01,11.1677,1,0.125093,0.00794978,,34.0170
timer_pnn,11,0,0.277919,0.837336,2.975823,2.0010,0.01,8.4915,1,0.039705,0.00092607,1.64637126,2.0010
timer_pnn,11,1,0.681586,0.884858,2.421102,2.0010,0.01,10.1479,1,0.204730,0.03139891,0.35595943,4.0020
timer_pnn,11,2,0.815517,0.871526,2.924101,2.0010,0.01,10.6021,1,0.078838,0.00617960,0.28327138,6.0030
timer_pnn,11,3,0.604820,0.862631,2.926545,2.0010,0.01,10.0230,1,0.075854,0.00289212,0.86798975,8.0040
timer_pnn,11,4,0.280113,0.845531,2.932894,2.0010,0.01,8.4385,1,0.063285,0.00349311,1.24907132,10.0050
timer_pnn,11,5,0.496809,0.914305,2.810970,2.0010,0.01,9.0801,1,0.112957,0.00695652,2.82751579,12.0060
timer_pnn,11,6,0.574654,0.841658,0.969221,2.0010,0.01,11.0980,1,0.387313,0.08718366,0.11509387,14.0070
timer_pnn,11,7,0.474194,0.872107,2.959480,2.0010,0.01,9.3662,1,0.031047,0.00396364,0.44165985,16.0080
timer_pnn,11,8,0.927143,0.860760,2.918709,2.0010,0.01,11.0244,1,0.115659,0.00686910,0.70088723,18.0090
timer_pnn,11,9,0.774275,0.929408,2.839338,2.0010,0.01,9.8752,1,0.112873,0.00644430,0.66748831,20.0100
timer_pnn,11,10,1.089662,0.807884,2.918241,2.0010,0.01,12.1108,1,0.159707,0.01417102,0.48179052,22.0110
timer_pnn,11,11,0.314338,0.873487,3.000000,2.0010,0.01,8.4283,1,0.047430,0.00161104,2.06078645,24.0120
timer_pnn,11,12,0.486931,1.000000,0.991033,2.0010,0.01,9.2106,1,0.265412,0.03919777,0.10696488,26.0130
timer_pnn,11,13,0.455965,0.873561,2.963134,2.0010,0.01,9.2629,1,0.029790,0.00306161,0.48507327,28.0140
timer_pnn,11,14,0.882194,0.878344,2.871844,2.0010,0.01,10.7090,1,0.116307,0.00683465,0.52109030,30.0150
timer_pnn,11,15,0.428597,0.906537,3.000000,2.0010,0.01,8.8037,1,0.058444,0.00380278,0.39919797,32.0160
timer_pnn,11,16,0.722068,0.861926,2.902731,2.0010,0.01,10.4397,1,0.104772,0.00551214,0.26602098,34.0170
timer_pnn,11,17,0.188980,0.814477,3.000000,2.0010,0.01,7.8058,1,0.027115,0.00037907,3.31593512,36.0180
timer_pnn,11,18,0.490533,0.755130,1.064479,2.0010,0.01,11.6663,1,0.309017,0.04867497,0.16051863,38.0190
timer_pnn,11,19,0.518981,0.848616,2.934048,2.0010,0.01,9.8250,1,0.047157,0.00209827,,40.0200
timer_pnn,12,0,0.327556,0.879399,2.964496,2.0010,0.01,8.4712,1,0.064920,0.00390008,0.30596713,2.0010
timer_pnn,12,1,0.165099,0.820430,2.984602,2.0010,0.01,7.4432,1,0.027622,0.00042415,0.07721965,4.0020
timer_pnn,12,2,0.332861,0.867751,3.000000,2.0010,0.01,8.6090,1,0.040380,0.00099228,0.07799626,6.0030
timer_pnn,12,3,0.371803,0.861679,2.957736,2.0010,0.01,8.9227,1,0.041200,0.00116636,1.69806317,8.0040
timer_pnn,12,4,0.153000,0.969583,1.302454,2.0010,0.01,6.8218,1,0.059583,0.02150928,1.45094014,10.0050
timer_pnn,12,5,0.984376,0.988213,2.460095,2.0010,0.01,9.8723,1,0.195888,0.03011507,0.94676685,12.0060
timer_pnn,12,6,0.993635,0.920664,2.753886,2.0010,0.01,10.5153,1,0.181399,0.02001016,1.12053426,14.0070
timer_pnn,12,7,1.005159,0.946905,2.691015,2.0010,0.01,10.2737,1,0.195828,0.02423466,0.37594927,16.0080
timer_pnn,12,8,0.827804,0.827651,2.906579,2.0010,0.01,11.1776,1,0.094458,0.00691665,1.56322118,18.0090
timer_pnn,12,9,0.752101,0.940891,2.416750,2.0010,0.01,9.7851,1,0.195633,0.03270897,0.24236371,20.0100
timer_pnn,12,10,0.551649,0.897173,2.963488,2.0010,0.01,9.4478,1,0.058844,0.00394981,1.77261342,22.0110
timer_pnn,12,11,0.942145,0.887238,2.263648,2.0010,0.01,10.8828,1,0.250795,0.04401286,0.61816489,24.0120
timer_pnn,12,12,0.842900,0.878573,2.872733,2.0010,0.01,10.6037,1,0.132650,0.00982920,0.16018056,26.0130
