target_idx,x_ref,y_ref,Kp_star,Kth_star,E_star,C_l_bf,is_workspace
91,0.470160,0.170147,0.871429,3.000000,542.2772,0.030362,1
92,0.418583,0.273474,0.889796,3.000000,569.1310,0.045574,1
93,0.344677,0.362213,0.908163,3.000000,580.2498,0.059363,1
94,0.252383,0.431628,0.944898,3.000000,585.2845,0.070237,1
95,0.146625,0.478018,0.981633,3.000000,612.5688,0.074774,1
96,0.033045,0.498907,0.963265,2.795918,679.1281,0.068516,1
97,-0.082297,0.493181,0.889796,2.540816,834.2308,0.053602,1
98,-0.193250,0.461145,1.000000,1.010204,951.0678,0.049063,1
99,-0.293893,0.404508,0.908163,0.908163,1106.9457,0.055793,1
100,-0.352671,-0.485410,0.926531,0.908163,1074.0913,0.065321,1
101,-0.231900,-0.553374,1.000000,0.959184,917.5654,0.057318,1
102,-0.098757,-0.591817,0.871429,2.438776,775.8128,0.062703,1
103,0.039654,-0.598688,0.926531,2.591837,625.6557,0.079791,1
104,0.175950,-0.573621,0.981633,2.897959,557.2505,0.086897,1
105,0.302859,-0.517954,0.963265,3.000000,534.6120,0.081591,1
106,0.413612,-0.434655,0.926531,3.000000,524.8869,0.068928,1
107,0.502300,-0.328169,0.889796,2.948980,517.0470,0.052868,1
108,0.564192,-0.204176,0.871429,2.948980,489.1686,0.035147,1
109,0.595986,-0.069291,0.871429,3.000000,453.5450,0.013088,1
110,0.595986,0.069291,0.871429,3.000000,453.5450,0.013088,1
111,0.564192,0.204176,0.871429,2.948980,489.1686,0.035147,1
112,0.502300,0.328169,0.889796,2.948980,517.0470,0.052868,1
113,0.413612,0.434655,0.926531,3.000000,524.8869,0.068928,1
114,0.302859,0.517954,0.963265,3.000000,534.6120,0.081591,1
115,0.175950,0.573621,0.981633,2.897959,557.2505,0.086897,1
116,0.039654,0.598688,0.926531,2.591837,625.6557,0.079791,1
117,-0.098757,0.591817,0.871429,2.438776,775.8128,0.062703,1
118,-0.231900,0.553374,1.000000,0.959184,917.5654,0.057318,1
119,-0.352671,0.485410,0.926531,0.908163,1074.0913,0.065321,1
120,-0.411450,-0.566312,0.944898,0.908163,1039.2647,0.074231,1
121,-0.270549,-0.645603,1.000000,0.959184,886.1591,0.065141,1
122,-0.115216,-0.690453,0.871429,2.387755,718.6973,0.071613,1
123,0.046263,-0.698470,0.944898,2.591837,568.0469,0.090766,1
124,0.205275,-0.669225,1.000000,2.897959,501.8911,0.098688,1
125,0.353336,-0.604280,0.981633,3.000000,474.1431,0.092649,1
126,0.482547,-0.507098,0.944898,3.000000,467.2959,0.078249,1
127,0.586017,-0.382864,0.908163,3.000000,457.7511,0.059937,1
128,0.658224,-0.238205,0.889796,3.000000,426.1322,0.039789,1
129,0.695316,-0.080839,0.889796,3.000000,388.4327,0.015155,1
130,0.695316,0.080839,0.889796,3.000000,388.4327,0.015155,1
131,0.658224,0.238205,0.889796,3.000000,426.1322,0.039789,1
132,0.586017,0.382864,0.908163,3.000000,457.7511,0.059937,1
133,0.482547,0.507098,0.944898,3.000000,467.2959,0.078249,1
134,0.353336,0.604280,0.981633,3.000000,474.1431,0.092649,1
135,0.205275,0.669225,1.000000,2.897959,501.8911,0.098688,1
136,0.046263,0.698470,0.944898,2.591837,568.0469,0.090766,1
137,-0.115216,0.690453,0.871429,2.387755,718.6973,0.071613,1
138,-0.270549,0.645603,1.000000,0.959184,886.1591,0.065141,1
139,-0.411450,0.566312,0.944898,0.908163,1039.2647,0.074231,1
140,-0.470228,-0.647214,0.926531,0.857143,1003.0247,0.082343,1
141,-0.309199,-0.737832,1.000000,0.959184,852.1352,0.072819,1
142,-0.131676,-0.789089,0.871429,2.336735,656.3110,0.080346,1
143,0.052872,-0.798251,0.944898,2.540816,509.7943,0.101547,1
144,0.234600,-0.764829,1.000000,2.846939,448.7027,0.110245,1
145,0.403812,-0.690605,0.981633,2.948980,421.6650,0.103483,1
146,0.551483,-0.579540,0.944898,2.948980,408.7614,0.087371,1
147,0.669733,-0.437559,0.926531,3.000000,402.3491,0.066841,1
148,0.752256,-0.272235,0.889796,2.948980,374.4716,0.044295,1
149,0.794647,-0.092388,0.889796,3.000000,321.7386,0.017206,1
150,0.794647,0.092388,0.889796,3.000000,321.7386,0.017206,1
151,0.752256,0.272235,0.889796,2.948980,374.4716,0.044295,1
152,0.669733,0.437559,0.926531,3.000000,402.3491,0.066841,1
153,0.551483,0.579540,0.944898,2.948980,408.7614,0.087371,1
154,0.403812,0.690605,0.981633,2.948980,421.6650,0.103483,1
155,0.234600,0.764829,1.000000,2.846939,448.7027,0.110245,1
156,0.052872,0.798251,0.944898,2.540816,509.7943,0.101547,1
157,-0.131676,0.789089,0.871429,2.336735,656.3110,0.080346,1
158,-0.309199,0.737832,1.000000,0.959184,852.1352,0.072819,1
159,-0.470228,0.647214,0.926531,0.857143,1003.0247,0.082343,1
160,-0.529007,-0.728115,0.724490,0.959184,961.5920,0.090264,1
161,-0.347849,-0.830061,1.000000,0.959184,816.8860,0.080401,1
162,-0.148135,-0.887725,0.871429,2.285714,591.5354,0.088936,1
163,0.059482,-0.898032,0.926531,2.438776,451.2800,0.112157,1
164,0.263925,-0.860432,0.963265,2.642857,397.3261,0.121607,1
165,0.454289,-0.776931,0.926531,2.642857,382.2458,0.114103,1
166,0.620418,-0.651983,0.908163,2.693878,378.3456,0.096321,1
167,0.753450,-0.492253,0.871429,2.642857,377.4651,0.073617,1
168,0.846287,-0.306264,0.853061,2.591837,353.3684,0.048718,1
169,0.893978,-0.103936,0.853061,3.000000,284.2332,0.019245,1
170,0.893978,0.103936,0.853061,3.000000,284.2332,0.019245,1
171,0.846287,0.306264,0.853061,2.591837,353.3684,0.048718,1
172,0.753450,0.492253,0.871429,2.642857,377.4651,0.073617,1
173,0.620418,0.651983,0.908163,2.693878,378.3456,0.096321,1
174,0.454289,0.776931,0.926531,2.642857,382.2458,0.114103,1
175,0.263925,0.860432,0.963265,2.642857,397.3261,0.121607,1
176,0.059482,0.898032,0.926531,2.438776,451.2800,0.112157,1
177,-0.148135,0.887725,0.871429,2.285714,591.5354,0.088936,1
178,-0.347849,0.830061,1.000000,0.959184,816.8860,0.080401,1
179,-0.529007,0.728115,0.724490,0.959184,961.5920,0.090264,1
180,-0.587785,-0.809017,0.724490,0.959184,914.9256,0.098100,1
181,-0.386499,-0.922290,0.742857,1.265306,763.2638,0.087892,1
182,-0.164595,-0.986361,0.889796,2.285714,526.3363,0.097384,1
183,0.066091,-0.997814,0.908163,2.336735,396.5464,0.122591,1
184,0.293250,-0.956036,0.889796,2.336735,361.0030,0.132796,1
185,0.504766,-0.863256,0.816327,3.000000,349.2349,0.124550,1
186,0.689353,-0.724425,0.797959,3.000000,345.8645,0.105126,1
187,0.837166,-0.546948,0.779592,3.000000,340.8127,0.080282,1
188,0.940319,-0.340293,0.816327,3.000000,316.6394,0.053012,1
189,0.993309,-0.115485,0.816327,3.000000,255.9028,0.021263,1
190,0.993309,0.115485,0.816327,3.000000,255.9028,0.021263,1
191,0.940319,0.340293,0.816327,3.000000,316.6394,0.053012,1
192,0.837166,0.546948,0.779592,3.000000,340.8127,0.080282,1
193,0.689353,0.724425,0.797959,3.000000,345.8645,0.105126,1
194,0.504766,0.863256,0.816327,3.000000,349.2349,0.124550,1
195,0.293250,0.956036,0.889796,2.336735,361.0030,0.132796,1
196,0.066091,0.997814,0.908163,2.336735,396.5464,0.122591,1
197,-0.164595,0.986361,0.889796,2.285714,526.3363,0.097384,1
198,-0.386499,0.922290,0.742857,1.265306,763.2638,0.087892,1
199,-0.587785,0.809017,0.724490,0.959184,914.9256,0.098100,1
200,-0.200000,-0.500000,1.000000,1.010204,936.4425,0.052193,0
201,-0.300000,0.500000,1.000000,0.959184,1008.4967,0.059764,0
202,0.500000,-0.500000,0.944898,3.000000,467.4627,0.077045,0
203,0.600000,0.400000,0.908163,2.948980,445.9271,0.062200,0
204,0.450000,0.770000,0.926531,2.642857,386.2100,0.113254,0
