delay_ms,scope,trigger_mode,controller,n,arrival_pct,n_diverged,failed_3x_pct,median_t_end_s,median_e_total_Cl1m,median_cross_track_rmse_m,median_peak_V,median_sup_dv,median_sup_dw,wall_s
10,wheels,oracle,lyap1,300,100.00,0,25.00,3.7360,429.968,0.018906,3.7907,0.24311,2.13838,7.5
10,wheels,oracle,lyap2,300,100.00,0,68.67,6.9065,913.387,0.008924,3.2483,0.16494,2.85488,15.2
10,wheels,oracle,pid_table3,300,100.00,0,68.33,5.8725,1105.286,0.054649,3.1111,0.26846,1.05883,13.9
10,wheels,measured,ours_bptt,300,100.00,0,26.33,3.6415,387.809,0.016376,4.2827,0.28062,3.49216,5.8
10,wheels,measured,ours_dr,300,100.00,0,38.33,4.7215,581.079,0.012833,3.9144,0.22982,3.43926,6.8
10,wheels,measured,pnn_bf,300,100.00,0,21.67,3.1395,322.122,0.017510,4.4178,0.28356,2.61570,5.5
10,wheels,measured,lyap1,300,100.00,0,25.00,3.7360,429.968,0.018906,3.7907,0.24311,2.13838,5.5
10,wheels,measured,lyap2,300,100.00,0,68.67,6.9065,913.387,0.008924,3.2483,0.16494,2.85488,8.4
10,wheels,measured,pid_table3,300,100.00,0,68.33,5.8725,1105.286,0.054649,3.1111,0.26846,1.05883,7.9
10,all,oracle,ours_bptt,300,100.00,0,25.67,3.6315,390.391,0.016965,4.2999,0.28186,3.49216,6.2
10,all,oracle,ours_dr,300,100.00,0,38.33,4.6745,581.747,0.013350,3.9384,0.22981,3.43926,7.4
10,all,oracle,pnn_bf,300,100.00,0,21.67,3.1260,331.319,0.017930,4.4365,0.28356,2.61570,4.4
10,all,oracle,lyap1,300,100.00,0,24.33,3.6815,433.051,0.019040,3.7931,0.24308,2.13838,2.4
10,all,oracle,lyap2,300,100.00,0,68.00,6.8740,907.702,0.009149,3.2644,0.16509,2.85488,10.9
10,all,oracle,pid_table3,300,100.00,0,70.00,5.8760,1125.005,0.054486,3.1204,0.26846,1.05885,7.3
10,all,measured,ours_bptt,300,100.00,0,26.00,3.6415,390.710,0.016941,4.2999,0.28186,3.49216,2.0
10,all,measured,ours_dr,300,100.00,0,38.33,4.6845,583.117,0.013336,3.9384,0.22981,3.43926,4.8
10,all,measured,pnn_bf,300,100.00,0,21.67,3.1360,334.417,0.017903,4.4365,0.28356,2.61570,4.3
10,all,measured,lyap1,300,100.00,0,24.33,3.6915,434.173,0.019015,3.7931,0.24308,2.13838,4.0
10,all,measured,lyap2,300,100.00,0,68.00,6.8840,909.273,0.009143,3.2644,0.16509,2.85488,12.6
10,all,measured,pid_table3,300,100.00,0,70.00,5.8860,1127.655,0.054438,3.1204,0.26846,1.05885,18.0
20,pose,oracle,ours_bptt,300,100.00,0,23.67,3.5800,421.139,0.018311,4.2837,0.27994,3.49216,5.1
20,pose,oracle,ours_dr,300,100.00,0,37.00,4.5515,578.426,0.014214,3.9238,0.22834,3.43926,10.5
20,pose,oracle,pnn_bf,300,100.00,0,20.67,3.0955,337.826,0.018499,4.4193,0.28356,2.61570,7.1
20,pose,oracle,lyap1,300,100.00,0,24.33,3.5885,446.855,0.019678,3.7743,0.24292,2.13838,6.2
20,pose,oracle,lyap2,300,100.00,0,66.00,6.7960,897.314,0.009943,3.2529,0.16411,2.85488,19.9
20,pose,oracle,pid_table3,300,100.00,0,70.67,5.9055,1192.929,0.054252,3.1157,0.26841,1.05674,27.0
20,pose,measured,ours_bptt,300,100.00,0,23.67,3.6000,424.037,0.018259,4.2837,0.27994,3.49216,6.7
20,pose,measured,ours_dr,300,100.00,0,37.00,4.5715,580.609,0.014184,3.9238,0.22834,3.43926,13.2
20,pose,measured,pnn_bf,300,100.00,0,20.67,3.1155,342.024,0.018443,4.4193,0.28356,2.61570,11.3
20,pose,measured,lyap1,300,100.00,0,24.33,3.6085,450.541,0.019624,3.7743,0.24292,2.13838,12.7
20,pose,measured,lyap2,300,100.00,0,67.00,6.8160,900.546,0.009928,3.2529,0.16411,2.85488,20.2
20,pose,measured,pid_table3,300,100.00,0,70.67,5.9255,1198.373,0.054157,3.1157,0.26841,1.05674,23.9
20,wheels,oracle,ours_bptt,300,100.00,0,27.00,3.6825,393.961,0.015944,4.3195,0.28504,3.49216,10.0
20,wheels,oracle,ours_dr,300,100.00,0,38.67,4.7825,586.212,0.012500,3.9564,0.23050,3.43926,16.0
20,wheels,oracle,pnn_bf,300,100.00,0,21.67,3.1745,333.927,0.017358,4.4566,0.28507,2.61570,11.2
20,wheels,oracle,lyap1,300,100.00,0,25.00,3.7980,430.466,0.018534,3.8160,0.24396,2.13838,9.2
20,wheels,oracle,lyap2,300,100.00,0,69.00,6.9420,919.999,0.008737,3.2778,0.16726,2.85488,18.7
20,wheels,oracle,pid_table3,300,100.00,0,68.67,5.8630,1089.993,0.054700,3.1265,0.26851,1.06087,16.1
20,wheels,measured,ours_bptt,300,100.00,0,27.00,3.6825,393.961,0.015944,4.3195,0.28504,3.49216,6.5
20,wheels,measured,ours_dr,300,100.00,0,38.67,4.7825,586.212,0.012500,3.9564,0.23050,3.43926,8.2
20,wheels,measured,pnn_bf,300,100.00,0,21.67,3.1745,333.927,0.017358,4.4566,0.28507,2.61570,5.5
20,wheels,measured,lyap1,300,100.00,0,25.00,3.7980,430.466,0.018534,3.8160,0.24396,2.13838,6.1
20,wheels,measured,lyap2,300,100.00,0,69.00,6.9420,919.999,0.008737,3.2778,0.16726,2.85488,11.5
20,wheels,measured,pid_table3,300,100.00,0,68.67,5.8630,1089.993,0.054700,3.1265,0.26851,1.06087,8.2
20,all,oracle,ours_bptt,300,100.00,0,25.67,3.6555,385.048,0.017532,4.3565,0.28989,3.49216,2.6
20,all,oracle,ours_dr,300,100.00,0,38.33,4.6895,582.800,0.013514,3.9907,0.23222,3.43926,5.7
20,all,oracle,pnn_bf,300,100.00,0,21.00,3.1475,341.649,0.018190,4.4944,0.28933,2.61570,5.8
20,all,oracle,lyap1,300,100.00,0,24.33,3.6840,432.890,0.018763,3.8281,0.24553,2.13838,2.8
20,all,oracle,lyap2,300,100.00,0,68.00,6.8765,908.983,0.009288,3.3292,0.16828,2.85488,9.2
