iter,surrogate_E_mean
1,1036.880615234375
2,1013.599365234375
3,961.1135864257812
4,948.3261108398438
5,882.8735961914062
6,863.206298828125
7,857.6535034179688
8,836.79833984375
9,854.498291015625
10,839.411865234375
11,854.6273193359375
12,866.0452270507812
13,887.3065795898438
14,891.081787109375
15,908.4219360351562
16,897.2191162109375
17,902.6958618164062
18,897.797119140625
19,868.3384399414062
20,861.0154418945312
21,863.5948486328125
22,852.2693481445312
23,844.717529296875
24,856.8353271484375
25,862.32421875
26,863.1302490234375
27,874.0962524414062
28,889.775390625
29,887.3515625
30,884.0382080078125
31,886.8984375
32,885.0449829101562
33,883.818359375
34,891.8050537109375
35,874.9364013671875
36,874.552001953125
37,884.042236328125
38,868.1369018554688
39,870.7709350585938
40,874.00537109375
41,871.0391235351562
42,878.7647094726562
43,873.1002197265625
44,878.9022827148438
45,879.2692260742188
46,884.3646240234375
47,874.7896728515625
48,863.0194702148438
49,863.891845703125
50,859.3057250976562
51,870.810302734375
52,862.7326049804688
53,885.9776000976562
54,889.9174194335938
55,891.8986206054688
56,891.8250122070312
57,897.5324096679688
58,893.018798828125
59,885.8411865234375
60,882.6506958007812
61,884.8790893554688
62,877.3468627929688
63,871.3582763671875
64,875.994873046875
65,878.3543090820312
66,876.1344604492188
67,869.2767333984375
68,878.5103759765625
69,883.23095703125
70,894.0806274414062
71,883.5684204101562
72,875.9638061523438
73,873.6928100585938
74,868.2867431640625
75,865.2909545898438
76,866.7432861328125
77,884.6561889648438
78,894.5736694335938
79,879.2510986328125
80,877.6560668945312
81,880.2453002929688
82,878.3515625
83,872.110107421875
84,884.2193603515625
85,883.389892578125
86,886.21240234375
87,895.4882202148438
88,886.1226806640625
89,890.8115844726562
90,879.6571044921875
91,876.5614624023438
92,878.7823486328125
93,878.1240844726562
94,870.6759643554688
95,859.5594482421875
96,872.0349731445312
97,873.4388427734375
98,873.046875
99,892.9190063476562
100,886.655029296875
101,880.7527465820312
102,878.90283203125
103,886.8443603515625
104,879.603271484375
105,877.7078857421875
106,866.302490234375
107,873.6832885742188
108,877.8486938476562
109,873.041259765625
110,883.8460693359375
111,878.828125
112,882.5260009765625
113,882.4906005859375
114,882.662353515625
115,878.7019653320312
116,884.12841796875
117,865.3076782226562
118,873.5371704101562
119,872.6613159179688
120,862.0081176757812
121,881.7854614257812
122,871.4456787109375
123,871.6492309570312
124,889.2042846679688
125,885.1495361328125
126,878.9896850585938
127,874.4456787109375
128,866.974609375
129,875.5115356445312
130,882.4215698242188
131,862.7176513671875
132,870.2935180664062
133,880.0333862304688
134,885.8253784179688
135,878.2349853515625
136,881.7570190429688
137,876.34130859375
138,871.5680541992188
139,863.5223388671875
140,868.26708984375
141,868.6280517578125
142,882.9783325195312
143,871.447265625
144,881.80859375
145,878.6209106445312
146,880.1175537109375
147,890.3903198242188
148,884.6355590820312
149,883.6644287109375
150,884.3065795898438
