timesteps,ep_return,ep_len
1501,-4649.562722,1501
3002,-6797.157742,1501
4503,-8976.49565,1501
6004,-14298.687815,1501
7505,-16641.459396,1501
9006,-7818.265376,1501
10507,-5208.901684,1501
12008,-5987.650736,1501
13509,-5542.788013,1501
15010,-7709.957839,1501
16511,-5544.915189,1501
18012,-6269.114155,1501
19513,-7613.749856,1501
21014,-13537.968488,1501
22515,-6717.081967,1501
24016,-6736.989918,1501
25517,-7926.655148,1501
27018,-8015.49977,1501
28519,-5548.312728,1501
30020,-9180.061358,1501
31521,-6790.477982,1501
33022,-9922.641822,1501
34523,-6707.623778,1501
36024,-10182.289935,1501
37525,-21647.760456,1501
39026,-7190.490834,1501
40527,-8554.374126,1501
40953,-2055.235568,426
42454,-7233.542879,1501
43955,-7795.666946,1501
45456,-7681.460157,1501
46957,-5161.725542,1501
48458,-5723.895185,1501
49959,-5860.064353,1501
51460,-5240.86491,1501
52961,-4943.291413,1501
54462,-7391.817918,1501
55963,-19738.873827,1501
57464,-5280.667859,1501
58965,-6306.103299,1501
60466,-8463.940883,1501
61967,-7562.453873,1501
63468,-15226.133617,1501
64969,-6754.634416,1501
66470,-6764.893208,1501
67971,-11559.335342,1501
69472,-28743.151268,1501
70973,-7812.05575,1501
72474,-6847.954835,1501
73975,-8045.997407,1501
75476,-6157.778095,1501
76977,-5733.865004,1501
78478,-7205.391266,1501
79979,-8288.517266,1501
81183,-4624.674918,1204
82684,-10279.583566,1501
84185,-7472.063674,1501
85686,-9117.651115,1501
87187,-15447.404446,1501
88688,-8081.256366,1501
90189,-8552.933243,1501
91690,-6530.280515,1501
93191,-17074.002454,1501
94692,-10621.864363,1501
96193,-9197.680118,1501
97694,-8006.801229,1501
99195,-5189.818484,1501
100696,-5095.192501,1501
102197,-4968.475213,1501
103698,-5160.395502,1501
105199,-10222.893417,1501
106700,-11371.225056,1501
108201,-4729.510695,1501
109702,-5312.719206,1501
111203,-10720.62656,1501
112704,-11530.05919,1501
114205,-4676.797298,1501
115706,-7100.216954,1501
117207,-7073.006492,1501
118708,-4597.699542,1501
120209,-4574.243492,1501
121710,-5078.510821,1501
123211,-5844.496958,1501
124712,-4564.315219,1501
126213,-6877.04851,1501
127714,-5276.233263,1501
129215,-5043.052513,1501
130716,-7357.890541,1501
132217,-15022.015905,1501
133718,-11488.411383,1501
135219,-4796.906863,1501
136720,-9750.3569,1501
138221,-18609.09697,1501
139722,-7011.340909,1501
141223,-6321.246318,1501
142724,-5935.640129,1501
144225,-6972.605723,1501
145726,-8540.875365,1501
147227,-10448.093564,1501
148728,-11442.297464,1501
150229,-4853.537488,1501
151730,-6138.706049,1501
153231,-5761.186571,1501
154732,-5796.569381,1501
156233,-7921.090953,1501
157734,-5718.047558,1501
159235,-9850.385588,1501
160736,-5578.068737,1501
162237,-7755.31125,1501
163738,-9194.499537,1501
165239,-4642.268604,1501
166740,-7798.384723,1501
168241,-7517.92955,1501
169742,-11997.806469,1501
171243,-8090.850935,1501
172744,-6021.559124,1501
174245,-5478.474357,1501
175746,-6889.328343,1501
177247,-6327.274976,1501
178748,-17204.511437,1501
180249,-8721.005164,1501
181750,-4729.521236,1501
183251,-8751.839223,1501
184752,-10435.748119,1501
186253,-7419.358555,1501
187754,-21797.621511,1501
189255,-6208.799595,1501
190756,-9380.56683,1501
192257,-8349.291224,1501
193758,-10237.01237,1501
195259,-5327.916082,1501
196760,-9546.863936,1501
198261,-19120.982881,1501
199762,-7511.87023,1501
201263,-10802.964314,1501
202764,-9744.162727,1501
204265,-5157.089946,1501
205766,-8739.882472,1501
207267,-7060.088448,1501
208768,-13668.402237,1501
210269,-7205.25071,1501
211770,-6614.752495,1501
213271,-7470.708745,1501
214772,-5229.026396,1501
216273,-6885.730286,1501
217774,-16975.007671,1501
219275,-8113.212248,1501
220776,-5123.133854,1501
222277,-5754.79869,1501
223778,-9584.962853,1501
225279,-6613.98463,1501
226780,-5717.26568,1501
228281,-4887.599382,1501
229782,-8912.310854,1501
231283,-14842.051006,1501
232784,-5577.479399,1501
234285,-5982.484627,1501
235786,-5119.016777,1501
237287,-5624.380159,1501
238788,-11240.289081,1501
240289,-11396.230963,1501
241790,-23633.794434,1501
243291,-17690.21703,1501
244792,-9436.445412,1501
246293,-15664.699864,1501
247794,-7762.176357,1501
249295,-11805.789019,1501
250796,-6849.08176,1501
252297,-12214.276956,1501
253798,-6963.063134,1501
255299,-7454.616681,1501
256800,-11776.660487,1501
258301,-4863.373279,1501
259802,-4890.452111,1501
261303,-9136.846993,1501
262804,-5396.78075,1501
264305,-5411.957311,1501
265806,-11545.842821,1501
267307,-6162.841909,1501
268808,-7260.375452,1501
270309,-31488.801135,1501
271810,-5997.259683,1501
273311,-8697.742367,1501
274812,-5245.560521,1501
276313,-7252.444783,1501
277814,-8791.386233,1501
279315,-5879.466612,1501
280816,-9089.64787,1501
282317,-4996.563668,1501
283818,-4708.517061,1501
285319,-7515.119117,1501
286820,-4824.102083,1501
288321,-6303.571967,1501
289822,-10957.519385,1501
291323,-10782.293953,1501
292824,-6200.531195,1501
294325,-6292.935009,1501
295826,-11528.00417,1501
297327,-9983.048984,1501
298828,-15235.347688,1501
300329,-4790.384204,1501
301830,-16871.769534,1501
303331,-22529.903324,1501
304832,-9069.313091,1501
306333,-10022.950451,1501
307834,-13800.909299,1501
309335,-26737.299075,1501
310836,-5998.610491,1501
312337,-6166.235088,1501
313838,-27765.970606,1501
315339,-6157.613225,1501
316840,-6887.505926,1501
318341,-9488.16929,1501
319842,-12965.141814,1501
321343,-6478.72762,1501
322844,-12074.078739,1501
324345,-5015.799786,1501
325846,-4674.587625,1501
327347,-8984.73829,1501
328848,-6165.524909,1501
330349,-5699.16211,1501
331850,-5662.114248,1501
333351,-5157.547935,1501
334852,-5459.181792,1501
336353,-7443.179018,1501
337854,-4720.8617,1501
339355,-4707.331308,1501
340856,-10047.481702,1501
342357,-5757.094496,1501
343858,-8073.158233,1501
345359,-6079.401934,1501
346860,-4565.103258,1501
348361,-5038.419146,1501
349862,-4676.452057,1501
351363,-5252.426312,1501
352864,-6286.286708,1501
354365,-5111.666371,1501
355866,-5322.232221,1501
357367,-12443.157341,1501
358868,-6638.999735,1501
360369,-6435.208336,1501
361870,-31847.185778,1501
363371,-4686.567196,1501
364872,-9770.648261,1501
366373,-8932.127301,1501
367874,-5689.144251,1501
369375,-9234.877139,1501
370876,-5266.916225,1501
372377,-9234.78729,1501
373878,-5167.24812,1501
375379,-17361.497849,1501
376880,-6596.435595,1501
378381,-5338.645049,1501
379882,-6595.523602,1501
381383,-17768.633305,1501
382884,-7954.472705,1501
384385,-7340.624053,1501
385886,-6212.525102,1501
387387,-5677.199288,1501
388888,-5653.612218,1501
390389,-4968.173555,1501
391890,-6679.150587,1501
393391,-5394.726847,1501
394892,-6085.372528,1501
396393,-5114.279351,1501
397894,-5162.967193,1501
399395,-12264.163679,1501
400896,-5523.135781,1501
402397,-6248.606791,1501
403898,-4942.833522,1501
405399,-5756.159482,1501
406900,-6032.60517,1501
408401,-6937.915795,1501
409902,-6035.119715,1501
411403,-18191.386736,1501
412904,-6200.692415,1501
414405,-7079.027754,1501
415906,-6892.084046,1501
417407,-11003.112165,1501
418908,-14287.223939,1501
420409,-9248.867013,1501
421910,-5301.06467,1501
423411,-5875.326263,1501
424912,-5198.170916,1501
426413,-5833.02953,1501
427914,-5235.904651,1501
429415,-6991.982544,1501
430916,-9714.028581,1501
432417,-6239.377761,1501
433918,-7783.888272,1501
435419,-5446.922652,1501
436920,-4786.018617,1501
438421,-6019.991847,1501
439922,-5216.99154,1501
441423,-9245.366518,1501
442924,-8749.354051,1501
444425,-7438.940012,1501
445926,-8071.992925,1501
447427,-6725.974198,1501
448928,-6612.127183,1501
450429,-20908.791321,1501
451930,-5039.36371,1501
453431,-11257.503476,1501
454932,-7213.517328,1501
456433,-6345.538712,1501
457934,-5892.950437,1501
459435,-5265.46243,1501
460936,-6497.060501,1501
462437,-12378.056266,1501
463938,-8768.35235,1501
465439,-6811.884296,1501
466940,-6884.58529,1501
468441,-8106.766405,1501
469942,-12800.466544,1501
471443,-5598.582005,1501
472944,-8915.904743,1501
474445,-9243.343647,1501
475946,-6546.030553,1501
477447,-7489.580858,1501
478948,-8291.792198,1501
480449,-4789.703413,1501
481950,-10430.445915,1501
483451,-7015.52588,1501
484952,-7402.80341,1501
486453,-4884.949836,1501
487954,-8957.859051,1501
489455,-15340.847857,1501
490956,-6633.810969,1501
492457,-4522.0002,1501
493958,-5391.821243,1501
495459,-11114.799994,1501
496960,-12421.684429,1501
498461,-5077.332931,1501
499962,-11212.84716,1501
