epoch,train_mse,val_mse
0,3.949798107147217,2.950798988342285
1,3.5507540702819824,2.762392282485962
2,3.441846251487732,2.5716099739074707
3,3.251899838447571,2.3645384311676025
4,2.7973687648773193,2.136483907699585
5,2.6482094526290894,1.8679636716842651
6,2.364313244819641,1.5591964721679688
7,1.8828687071800232,1.2223774194717407
8,1.6133149862289429,0.8843375444412231
9,1.1075688600540161,0.5956135988235474
10,0.7087460458278656,0.428788959980011
11,0.4005339741706848,0.45582687854766846
12,0.3473888486623764,0.6701875925064087
13,0.37523189187049866,0.9051486849784851
14,0.5545072257518768,0.9865527749061584
15,0.5244788825511932,0.8940716981887817
16,0.46092088520526886,0.7245517373085022
17,0.3426283001899719,0.5631876587867737
18,0.27005112171173096,0.4522497057914734
19,0.27395984530448914,0.39207923412323
20,0.27352842688560486,0.36417990922927856
21,0.28850094974040985,0.35171109437942505
22,0.29373809695243835,0.3429017663002014
23,0.2949317395687103,0.3351712226867676
24,0.2602873742580414,0.33128592371940613
25,0.2481255903840065,0.33575910329818726
26,0.23477057367563248,0.34940943121910095
27,0.21906402707099915,0.36912015080451965
28,0.19966359436511993,0.3871997594833374
29,0.2264370620250702,0.39631348848342896
30,0.23519331961870193,0.3893958628177643
31,0.2441970556974411,0.3678525388240814
32,0.21740367263555527,0.33970993757247925
33,0.20813148468732834,0.31252604722976685
34,0.20548075437545776,0.2895078659057617
35,0.188674658536911,0.2726917862892151
36,0.19268451631069183,0.26172125339508057
37,0.17719530314207077,0.2547406256198883
38,0.1856781393289566,0.25084421038627625
39,0.1642633080482483,0.24939630925655365
40,0.17156075686216354,0.25005418062210083
41,0.15500441938638687,0.24948234856128693
42,0.1879279911518097,0.24559122323989868
43,0.16765989363193512,0.23506975173950195
44,0.15594587475061417,0.2215716689825058
45,0.14953040331602097,0.21022222936153412
46,0.1614759862422943,0.20163336396217346
47,0.15165594965219498,0.19546455144882202
48,0.15078677237033844,0.19153693318367004
49,0.1521311178803444,0.18853633105754852
50,0.14551948010921478,0.18585048615932465
51,0.14924942702054977,0.18473955988883972
52,0.1358838975429535,0.18473070859909058
53,0.13085419684648514,0.1852034479379654
54,0.13748670369386673,0.18506479263305664
55,0.1250026486814022,0.18361017107963562
56,0.14311422780156136,0.1813325583934784
57,0.11966123804450035,0.17758020758628845
58,0.12882163375616074,0.17453695833683014
59,0.12161144614219666,0.17260189354419708
60,0.1346326246857643,0.1712014526128769
61,0.11922205984592438,0.16945871710777283
62,0.11406184732913971,0.16847975552082062
63,0.13695814833045006,0.16777469217777252
64,0.12120534852147102,0.1673155575990677
65,0.11502164602279663,0.16666579246520996
66,0.12519409507513046,0.16612869501113892
67,0.11875322833657265,0.16530460119247437
68,0.11437906324863434,0.16555212438106537
69,0.11365178599953651,0.16570158302783966
70,0.11535528302192688,0.16643595695495605
71,0.10274313017725945,0.166563019156456
72,0.10624916106462479,0.16482016444206238
73,0.11522425338625908,0.16219677031040192
74,0.11858721077442169,0.15929795801639557
75,0.09996387735009193,0.15694735944271088
76,0.09704599529504776,0.15602636337280273
77,0.11146661639213562,0.15668641030788422
78,0.10143329948186874,0.15728646516799927
79,0.1037515141069889,0.15815825760364532
80,0.09708534553647041,0.15779250860214233
81,0.10509365424513817,0.15596717596054077
82,0.09368214011192322,0.1546604186296463
83,0.0925779715180397,0.15406325459480286
84,0.10037869587540627,0.15379449725151062
85,0.0908927358686924,0.15329569578170776
86,0.11284051835536957,0.15216535329818726
87,0.09284709393978119,0.14995905756950378
88,0.10197211429476738,0.14810815453529358
89,0.09309426322579384,0.14683158695697784
90,0.09976335987448692,0.14609350264072418
91,0.08961408957839012,0.14584101736545563
92,0.08816014602780342,0.14624442160129547
93,0.08899152278900146,0.14744417369365692
94,0.1018577329814434,0.14728523790836334
95,0.08646628260612488,0.1446150839328766
96,0.08764099329710007,0.14232169091701508
