timesteps,ep_return,ep_len
1501,-9295.595384,1501
3002,-7930.288075,1501
4503,-7284.258189,1501
6004,-21223.654297,1501
7505,-10730.788753,1501
9006,-5161.244992,1501
10507,-5584.273199,1501
12008,-5209.779772,1501
13509,-17527.675499,1501
15010,-8293.07968,1501
16511,-5515.403391,1501
18012,-11309.082567,1501
19513,-8096.631811,1501
21014,-8343.094519,1501
22515,-5173.174344,1501
24016,-12266.777014,1501
25517,-7227.226629,1501
27018,-6604.894735,1501
28519,-7962.779626,1501
30020,-7364.59222,1501
31521,-12735.610005,1501
33022,-7917.552539,1501
34523,-7688.019022,1501
36024,-7164.231545,1501
37525,-5827.771002,1501
39026,-7995.260933,1501
40527,-4911.261243,1501
42028,-5350.646356,1501
43529,-5253.526271,1501
45030,-12717.623072,1501
46531,-10245.725595,1501
48032,-4895.458497,1501
48948,-2472.865488,916
50449,-5152.3343,1501
51950,-6670.790099,1501
53451,-6931.584856,1501
54952,-7055.709869,1501
55708,-2700.236994,756
56226,-2355.571417,518
57727,-5719.474297,1501
58592,-3604.952105,865
60093,-8689.954044,1501
61594,-6349.685157,1501
62734,-2908.351935,1140
64235,-7258.722994,1501
65736,-7124.876652,1501
67237,-5836.359272,1501
68469,-4618.832502,1232
69970,-9567.892832,1501
71471,-8412.67614,1501
72972,-6899.020231,1501
74473,-7141.033658,1501
75963,-3106.591695,1490
77464,-5075.601971,1501
78965,-5958.182538,1501
80466,-7837.078631,1501
81568,-3156.829642,1102
83069,-8518.026845,1501
84570,-5506.684507,1501
86071,-6191.07211,1501
87572,-5526.930903,1501
89073,-5872.721684,1501
90574,-4984.621602,1501
91300,-1813.042106,726
92801,-6166.531386,1501
94302,-5101.017662,1501
94839,-1908.21248,537
96340,-5615.484067,1501
96931,-2528.906016,591
98432,-5052.034899,1501
99933,-5030.533192,1501
101434,-6253.564525,1501
102935,-5954.722409,1501
104436,-5723.484329,1501
105937,-5426.407507,1501
107438,-6407.582548,1501
108939,-5131.829864,1501
110440,-6703.856198,1501
111879,-4687.735924,1439
113380,-5729.570541,1501
114798,-6168.066559,1418
116299,-5285.503234,1501
117800,-7410.719177,1501
118105,-1871.629662,305
119606,-5864.82623,1501
121107,-4923.032833,1501
122608,-6369.048438,1501
124109,-9882.166363,1501
125610,-7951.625502,1501
127111,-10327.899189,1501
127864,-2820.233437,753
129365,-5170.86174,1501
130866,-10276.981893,1501
132367,-5122.676837,1501
133868,-7398.037143,1501
135369,-4913.247361,1501
136870,-5439.089237,1501
138371,-5006.743949,1501
139723,-3289.783205,1352
141224,-4740.337362,1501
142725,-5931.01237,1501
144226,-5001.917439,1501
145727,-9274.445624,1501
146928,-3307.48224,1201
148429,-5610.210912,1501
149930,-5714.258761,1501
151431,-6337.474108,1501
152026,-3106.892872,595
153527,-7419.446021,1501
155028,-5206.628223,1501
155706,-2670.426559,678
157207,-5922.074147,1501
158708,-6716.581943,1501
160209,-9147.173813,1501
161710,-5028.939079,1501
163211,-4910.515309,1501
164712,-5810.808256,1501
166213,-5305.292901,1501
167714,-8564.248999,1501
169215,-5653.224529,1501
170716,-10041.213409,1501
172217,-5245.096644,1501
173718,-9993.765927,1501
175219,-7574.135901,1501
176720,-4858.216936,1501
178221,-9802.830276,1501
179722,-11588.590998,1501
181223,-6815.269598,1501
182724,-6574.932621,1501
184225,-8256.13883,1501
185726,-7562.399829,1501
187227,-5718.702279,1501
188728,-5691.104792,1501
190229,-5528.812337,1501
191730,-6290.351283,1501
193231,-5880.181314,1501
194732,-8254.330548,1501
196233,-5180.474092,1501
197734,-4886.889006,1501
199235,-6570.729799,1501
200734,-5362.177387,1499
202235,-6157.688938,1501
203736,-4837.529954,1501
205237,-5581.335091,1501
206738,-5138.671897,1501
208239,-6540.105258,1501
209740,-5414.263958,1501
211241,-5715.767865,1501
212742,-4844.583663,1501
214003,-2562.124568,1261
214654,-1700.469817,651
216155,-4687.566307,1501
217656,-5719.426507,1501
219157,-6452.641522,1501
220368,-4303.560418,1211
221869,-5236.467564,1501
223370,-6136.428696,1501
224871,-5083.214356,1501
226372,-5805.59294,1501
227873,-5037.175408,1501
229374,-5771.273778,1501
230875,-5220.621776,1501
231826,-4672.301192,951
233327,-6647.128651,1501
234828,-6599.866506,1501
235773,-3909.336013,945
237274,-4784.47448,1501
238193,-3098.651222,919
238692,-1945.169563,499
240193,-5782.239036,1501
241694,-4949.567833,1501
242512,-2487.549586,818
243122,-3245.949573,610
244623,-5399.780135,1501
245728,-3337.230711,1105
247229,-6547.653061,1501
247819,-3688.532328,590
249147,-4188.120156,1328
250648,-5261.702865,1501
251508,-4282.793439,860
253009,-5835.241072,1501
254510,-5487.026848,1501
256011,-4801.224011,1501
257512,-5128.035895,1501
259013,-6220.228685,1501
260514,-9175.736884,1501
262015,-10130.880556,1501
263516,-4950.244841,1501
264444,-4544.770018,928
265945,-5262.060774,1501
266651,-3619.100015,706
