timesteps,ep_return,ep_len
1501,-7118.127584,1501
1911,-1347.585591,410
3412,-5772.813553,1501
4913,-5656.093459,1501
6414,-10738.901431,1501
7915,-6590.75633,1501
9416,-5113.978441,1501
10917,-5951.214871,1501
12418,-9166.3988,1501
13919,-6579.930891,1501
15420,-6720.254159,1501
16921,-5359.315399,1501
18422,-6119.340685,1501
19923,-5009.094372,1501
21424,-5979.553617,1501
22925,-5703.948588,1501
24426,-14049.349842,1501
25927,-9009.632065,1501
27428,-9426.289277,1501
28929,-5783.664923,1501
30430,-5843.159658,1501
31865,-5098.248424,1435
33366,-5444.896479,1501
34867,-5024.141929,1501
35190,-1271.500111,323
36691,-7138.234425,1501
38192,-10161.399566,1501
39693,-6286.09021,1501
41194,-6353.934845,1501
42042,-3455.190467,848
43106,-4089.352589,1064
43464,-2472.5749,358
44965,-4675.989944,1501
46466,-4750.568938,1501
47967,-4561.829953,1501
49468,-4652.37601,1501
50969,-7512.917955,1501
52470,-5363.171127,1501
53971,-6732.225827,1501
55472,-6165.628554,1501
56178,-2396.798662,706
57679,-8285.364454,1501
59180,-5453.23095,1501
60681,-4839.974554,1501
62182,-10613.751373,1501
63683,-8101.469989,1501
63949,-654.930152,266
64770,-3350.470271,821
65291,-3491.514767,521
65732,-1099.071751,441
67233,-5046.120323,1501
68734,-5377.924003,1501
70235,-7083.711204,1501
71158,-2361.407326,923
72659,-5538.544859,1501
73260,-3043.722311,601
74761,-4732.311582,1501
76262,-5210.483623,1501
77763,-10156.682924,1501
79264,-6218.834105,1501
79802,-1297.079177,538
81303,-6913.834384,1501
82804,-4556.533072,1501
84305,-7101.850076,1501
85806,-7419.909412,1501
87307,-6601.910189,1501
88808,-12151.972499,1501
90309,-7136.564578,1501
91810,-13025.668588,1501
93311,-6720.901245,1501
93704,-1054.693832,393
95205,-6384.659847,1501
95830,-2216.687983,625
97331,-4938.436783,1501
98832,-5244.504711,1501
100333,-11319.541447,1501
101269,-4419.017047,936
102770,-14301.366341,1501
103748,-3160.602487,978
104643,-3633.40399,895
106144,-13149.655784,1501
106657,-2581.087375,513
107798,-3855.614996,1141
108947,-3467.828766,1149
110448,-13999.109606,1501
111033,-2968.174052,585
112078,-3646.908051,1045
112526,-2142.612295,448
114027,-5641.475638,1501
115528,-5588.350494,1501
117029,-5181.715514,1501
118530,-8991.0893,1501
120031,-5252.555711,1501
121532,-8151.717031,1501
123033,-5246.951763,1501
124534,-5883.065548,1501
126035,-5005.407898,1501
127536,-5142.546699,1501
129037,-4950.734976,1501
130463,-3755.897513,1426
131163,-1777.727646,700
132042,-2057.52582,879
133543,-4942.56252,1501
135044,-4987.580273,1501
136521,-3262.920024,1477
138022,-5138.549333,1501
139523,-5178.174034,1501
141024,-5521.540702,1501
142525,-5019.561022,1501
144026,-4798.781591,1501
145527,-5710.067071,1501
147028,-5150.154194,1501
148529,-5329.907636,1501
150030,-5312.992574,1501
151531,-5280.387647,1501
153032,-5475.638877,1501
154533,-7854.599248,1501
156034,-5240.482446,1501
156705,-2061.553459,671
158206,-4793.560436,1501
159707,-4827.201459,1501
161208,-7126.393822,1501
162709,-7300.970355,1501
164210,-9574.099635,1501
165711,-5931.323627,1501
167212,-6673.066482,1501
168713,-5849.1429,1501
170214,-4831.389106,1501
171715,-6848.939801,1501
173216,-4928.587717,1501
174717,-4755.275195,1501
176218,-9854.783733,1501
177719,-10249.736264,1501
179220,-6543.619965,1501
180721,-5383.314388,1501
181083,-724.136446,362
182584,-5186.303844,1501
184085,-8047.417543,1501
184477,-1153.326758,392
185644,-3083.265899,1167
187145,-5027.036478,1501
188646,-5530.213349,1501
189083,-978.341536,437
190584,-5455.040521,1501
192085,-6956.891913,1501
192685,-2545.718521,600
194186,-5514.848004,1501
194782,-1453.934294,596
195043,-790.654134,261
196544,-5051.802507,1501
197175,-1411.482091,631
198676,-5066.109796,1501
200177,-4777.316262,1501
201678,-5329.808485,1501
203179,-4904.439413,1501
204680,-5265.73448,1501
206181,-5246.218521,1501
207682,-4528.552532,1501
209183,-9840.730472,1501
210684,-4545.149385,1501
212185,-4799.720168,1501
213168,-3715.950958,983
214192,-3257.462488,1024
215693,-4530.746953,1501
217194,-4863.004408,1501
218695,-6124.762257,1501
220196,-4985.176816,1501
221697,-4718.592714,1501
223198,-5343.927542,1501
224699,-4823.03192,1501
226200,-6710.613781,1501
227701,-4840.769616,1501
229202,-14200.81992,1501
230703,-17297.795604,1501
232204,-5046.856987,1501
233705,-14244.969097,1501
235185,-3009.123064,1480
236686,-4844.698403,1501
238187,-4794.578668,1501
239688,-4865.189208,1501
241189,-7711.603021,1501
242690,-5719.664572,1501
244191,-4980.562478,1501
245692,-5184.599374,1501
247193,-6539.274944,1501
248694,-5178.192508,1501
249347,-2404.777351,653
250848,-5709.171348,1501
252349,-6300.859484,1501
253850,-5975.914309,1501
255351,-4873.07227,1501
256852,-7133.290517,1501
258353,-5094.204066,1501
258976,-3230.867769,623
260477,-8499.672009,1501
261978,-6089.419103,1501
263479,-6699.896982,1501
264980,-6904.722399,1501
266481,-4841.298483,1501
267982,-5086.870181,1501
269483,-5427.870573,1501
270984,-7406.075348,1501
272485,-6250.329852,1501
273986,-19436.24286,1501
275487,-6946.9978,1501
276988,-8952.303662,1501
278489,-4791.516394,1501
279990,-5537.169058,1501
281491,-6024.515701,1501
282992,-4795.116211,1501
284493,-5240.857127,1501
285994,-4691.411586,1501
287495,-7000.142504,1501
288996,-4725.438249,1501
290497,-4900.637128,1501
291998,-4874.902372,1501
293499,-5533.484782,1501
295000,-5285.602053,1501
296501,-8967.94794,1501
298002,-9222.18293,1501
299503,-4919.11794,1501
301004,-6219.5564,1501
301353,-1548.209531,349
302854,-5126.706901,1501
304355,-4727.172061,1501
305345,-4392.270449,990
306846,-5494.964447,1501
308347,-6640.731043,1501
309848,-5381.820448,1501
311349,-4946.479142,1501
312850,-6482.206288,1501
313289,-2518.351852,439
313920,-3159.561272,631
314701,-4024.952392,781
316202,-6743.453437,1501
317703,-10113.853684,1501
319204,-5889.93415,1501
320705,-4908.150257,1501
322206,-4754.161773,1501
323208,-3717.853464,1002
324709,-7055.219864,1501
326210,-8207.668496,1501
327711,-6862.036304,1501
329212,-5321.063031,1501
330713,-4941.493934,1501
332214,-4675.084835,1501
333715,-4943.024782,1501
335216,-6326.792566,1501
336717,-5152.827215,1501
337445,-1680.828454,728
338946,-6764.421415,1501
339523,-1345.916366,577
341024,-9364.608425,1501
342525,-7480.803578,1501
344026,-5075.957886,1501
344640,-1771.065179,614
346141,-8780.499635,1501
347642,-4948.341328,1501
348708,-5873.256726,1066
349995,-3653.200755,1287
351496,-6864.209888,1501
352997,-16079.218011,1501
354465,-3464.228141,1468
355966,-7719.555691,1501
357206,-2554.429247,1240
358707,-6141.875518,1501
360208,-7316.138488,1501
361709,-4789.316797,1501
363210,-4725.618252,1501
364711,-6644.41684,1501
366212,-5245.959736,1501
367713,-5194.967976,1501
369214,-4639.998062,1501
370541,-5232.547837,1327
372042,-5436.369631,1501
373543,-6657.46972,1501
375044,-4677.08924,1501
376545,-4585.738087,1501
377760,-3791.227384,1215
379261,-4968.236563,1501
380762,-8022.93366,1501
382263,-4882.104658,1501
383764,-11811.747345,1501
385265,-6906.590001,1501
386766,-5978.023502,1501
388267,-8108.079186,1501
389768,-5687.866053,1501
391269,-4730.679547,1501
392770,-5879.596657,1501
393875,-4231.399979,1105
395376,-4710.786421,1501
396877,-5327.427217,1501
398378,-5839.285025,1501
399260,-2819.02865,882
400761,-5637.125699,1501
402262,-6159.106911,1501
403101,-2469.61579,839
404602,-4836.209559,1501
406103,-5782.212962,1501
407101,-2601.889024,998
408043,-2302.308132,942
409544,-6738.071904,1501
409724,-498.170038,180
411225,-7627.247511,1501
412726,-7612.75664,1501
414227,-7943.429873,1501
414868,-1927.692355,641
416369,-5474.222387,1501
417870,-5377.617449,1501
419371,-5183.871561,1501
