iter,surrogate_E_mean
1,1101.8319091796875
2,1067.609619140625
3,1043.0838623046875
4,1025.0623779296875
5,983.939208984375
6,923.106201171875
7,877.2979125976562
8,845.8892211914062
9,834.5529174804688
10,841.938720703125
11,844.0289916992188
12,858.637939453125
13,869.0216674804688
14,886.7852172851562
15,902.184326171875
16,899.2800903320312
17,910.076171875
18,899.37109375
19,890.0047607421875
20,878.2684936523438
21,874.99462890625
22,870.5201416015625
23,867.9085693359375
24,858.5630493164062
25,848.2666625976562
26,845.171142578125
27,862.8795166015625
28,867.0758666992188
29,885.822509765625
30,884.6932983398438
31,884.4095458984375
32,892.535400390625
33,895.3897705078125
34,887.2000732421875
35,886.6649169921875
36,894.452392578125
37,892.5014038085938
38,881.7982788085938
39,887.27978515625
40,865.5037231445312
41,871.3091430664062
42,877.940673828125
43,861.2462768554688
44,871.4876708984375
45,871.3802490234375
46,881.7238159179688
47,887.7754516601562
48,879.2232666015625
49,890.2330322265625
50,876.0926513671875
51,883.201171875
52,882.8953247070312
53,870.353271484375
54,879.6080322265625
55,879.2823486328125
56,869.9935913085938
57,884.2169799804688
58,886.5267333984375
59,879.6133422851562
60,879.2295532226562
61,875.9808349609375
62,889.585205078125
63,904.4813842773438
64,893.489501953125
65,883.271484375
66,878.83984375
67,885.1495361328125
68,878.1564331054688
69,886.461669921875
70,891.6074829101562
71,884.88134765625
72,878.1286010742188
73,884.9707641601562
74,884.0695190429688
75,882.4642333984375
76,868.4288330078125
77,875.243408203125
78,861.154052734375
79,885.0889892578125
80,887.6154174804688
81,885.2559204101562
82,884.3993530273438
83,888.372802734375
84,886.1826782226562
85,880.9863891601562
86,888.2486572265625
87,875.949951171875
88,872.9417114257812
89,868.1563110351562
90,881.1255493164062
91,879.9503173828125
92,869.3973388671875
93,877.0164794921875
94,870.56494140625
95,884.8545532226562
96,879.622314453125
97,890.4735717773438
98,885.288818359375
99,895.50732421875
100,894.865966796875
101,905.5122680664062
102,893.322509765625
103,882.2002563476562
104,877.7188110351562
105,875.0609130859375
106,875.6157836914062
107,871.6751708984375
108,870.979248046875
109,869.8859252929688
110,875.1629638671875
111,877.6490478515625
112,872.546630859375
113,879.0971069335938
114,884.7288208007812
115,885.9026489257812
116,875.7494506835938
117,872.7262573242188
118,855.9076538085938
119,861.376220703125
120,871.7081909179688
121,878.7199096679688
122,878.1470336914062
123,885.7306518554688
124,877.4818725585938
125,883.2271118164062
126,878.2427368164062
127,879.4788818359375
128,890.59765625
129,874.4695434570312
130,870.640869140625
131,868.385009765625
132,862.3609619140625
133,859.5015869140625
134,868.3272094726562
135,876.3611450195312
136,880.3668212890625
137,902.9066162109375
138,908.3619384765625
139,918.9151000976562
140,919.9517822265625
141,903.6490478515625
142,884.2631225585938
143,876.7835083007812
144,862.48291015625
145,858.0028686523438
146,860.4143676757812
147,865.0399780273438
148,869.2151489257812
149,888.1060180664062
150,903.8370361328125
