timesteps,ep_return,ep_len
1501,-6246.2381,1501
3002,-6814.753371,1501
4503,-6330.316005,1501
6004,-8609.6468,1501
7505,-7175.463726,1501
9006,-7593.931112,1501
10507,-7977.984658,1501
12008,-8153.891687,1501
13509,-5155.648672,1501
15010,-6038.875185,1501
16511,-7303.687943,1501
18012,-6142.530043,1501
19513,-5633.036718,1501
21014,-5378.248157,1501
21110,-1055.525173,96
22601,-7046.564003,1491
24102,-9376.952678,1501
25603,-6028.165636,1501
27104,-6329.453105,1501
28605,-7359.868494,1501
30106,-6081.927463,1501
31607,-7029.488804,1501
33108,-9798.494556,1501
34609,-7052.074849,1501
36110,-13785.425167,1501
36181,-646.939576,71
37682,-7895.465757,1501
39183,-7064.773482,1501
40684,-7180.203024,1501
42185,-11449.227928,1501
43686,-7624.847054,1501
45187,-6194.73228,1501
46688,-5890.028221,1501
48143,-4351.32242,1455
49644,-6183.031731,1501
51145,-19084.121325,1501
52646,-5692.43105,1501
54147,-6479.973428,1501
55648,-4858.477589,1501
57149,-5999.658672,1501
58650,-5414.208289,1501
60151,-5357.011512,1501
61652,-5035.040478,1501
63153,-5750.657078,1501
63396,-603.739741,243
63797,-1440.563069,401
64005,-1698.938954,208
65506,-8388.375575,1501
67007,-10941.865024,1501
68508,-7067.046562,1501
70009,-6568.007394,1501
71510,-6688.259259,1501
73011,-5351.709929,1501
74512,-6715.81475,1501
76013,-7918.858435,1501
77514,-9562.823175,1501
79015,-5735.475805,1501
80516,-5525.741324,1501
82017,-5728.763439,1501
83518,-8818.404891,1501
85019,-10083.838216,1501
86520,-8337.087817,1501
88021,-10381.62818,1501
89522,-6127.467111,1501
91023,-7668.928385,1501
92524,-5155.661733,1501
94025,-7824.26547,1501
95526,-6548.630758,1501
97027,-5412.135956,1501
98528,-5013.253001,1501
100029,-6341.311995,1501
101530,-6827.753641,1501
103031,-6295.63818,1501
104532,-6093.565231,1501
106033,-5214.636766,1501
107534,-6854.243811,1501
109035,-7869.187079,1501
110536,-6933.091971,1501
112037,-9685.996826,1501
113538,-7833.355007,1501
115039,-13122.276266,1501
116540,-5815.857667,1501
118041,-6744.984031,1501
119542,-5977.468568,1501
121043,-9567.940521,1501
122544,-5955.341906,1501
124045,-9051.87616,1501
125546,-5415.980084,1501
127047,-6721.470543,1501
128548,-8546.857637,1501
130049,-11867.224787,1501
131550,-6619.495923,1501
133051,-10257.041096,1501
134552,-6671.033338,1501
136053,-5052.287948,1501
137227,-4341.100147,1174
138728,-5811.02321,1501
140229,-6334.889981,1501
141730,-6850.558407,1501
143231,-7283.741251,1501
144732,-8040.769299,1501
146233,-9981.030594,1501
147734,-4807.939727,1501
149235,-4682.339046,1501
150736,-7858.164669,1501
152237,-4965.892105,1501
153738,-5293.282014,1501
155239,-5650.967785,1501
156740,-5314.809431,1501
158241,-5815.543014,1501
159742,-10750.772086,1501
161243,-6737.480696,1501
162744,-4728.419746,1501
164245,-4593.048679,1501
165746,-5756.803785,1501
167247,-5119.773124,1501
